id,psp_id,psp_canale,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
35006633,PPAYITR1XXX,,Postepay,80001070202,Provincia di Mantova,46100,MN,49.45,04/01/2025,lc_vcds_privati,3,04/01/2025 11:30:11 AM,11
35006631,BCITITMM,,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,184.8,04/01/2025,Tassa Auto,3,04/01/2025 11:30:04 AM,11
35006630,BIC32698,,LIS Pay SPA,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:30:02 AM,11
35006629,SIGPITM1XXX,,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,23,04/01/2025,Licenza di Pesca,3,04/01/2025 11:30:02 AM,11
35006628,ABI08440,,BCC DI CARATE BRIANZA,85001870188,Comune di Vigevano,27029,PV,65,04/01/2025,syg_salme,3,04/01/2025 11:30:01 AM,11
35006627,PPAYITR1XXX,,Postepay,85001870188,Comune di Vigevano,27029,PV,70.48,04/01/2025,ts_verbali_cds,3,04/01/2025 11:29:58 AM,11
35006626,CIPBITMM,,Nexi,00869010173,Comune di Flero,25020,BS,22,04/01/2025,CI_RL,3,04/01/2025 11:29:54 AM,11
35006625,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.82,04/01/2025,solleciti,3,04/01/2025 11:29:53 AM,11
35006624,PPAYITR1XXX,,Postepay,84507570152,Comune di Lodi,26900,LO,16.23,04/01/2025,servizicimiteriali,3,04/01/2025 11:29:51 AM,11
35006623,SIGPITM1XXX,,MOONEY S.P.A.,09314320962,ASST VIMERCATE,20871,MB,15.8,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:29:49 AM,11
35006622,ABI08430,,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,10.36,04/01/2025,solleciti,3,04/01/2025 11:29:48 AM,11
35006621,PPAYITR1XXX,,Postepay,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.61,04/01/2025,sin_sollecito,3,04/01/2025 11:29:42 AM,11
35006619,SIGPITM1XXX,,MOONEY S.P.A.,80008750178,Provincia di Brescia,25121,BS,35.9,04/01/2025,os_verbali_pp,3,04/01/2025 11:29:30 AM,11
35006618,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.48,04/01/2025,solleciti,3,04/01/2025 11:29:10 AM,11
35006617,CIPBITMM,,Nexi,00761890177,Comune di Brescia,25121,BS,29.4,04/01/2025,ts_sanamm,3,04/01/2025 11:29:09 AM,11
35006616,BCITITMM,,Intesa Sanpaolo S.p.A,00296180185,Comune di Pavia,27100,PV,110,04/01/2025,REFEZ,3,04/01/2025 11:29:09 AM,11
35006615,PPAYITR1XXX,,Postepay,80008750178,Provincia di Brescia,25121,BS,44.4,04/01/2025,os_verbali_pp,3,04/01/2025 11:29:06 AM,11
35006614,BCITITMM,,Intesa Sanpaolo S.p.A,00283240125,Comune di Sesto Calende,21018,VA,35,04/01/2025,app_trasportoscolastico,3,04/01/2025 11:29:02 AM,11
35006613,PPAYITR1XXX,,Postepay,84507570152,Comune di Lodi,26900,LO,76.77,04/01/2025,mg_violazioni_cds,3,04/01/2025 11:29:01 AM,11
35006612,PPAYITR1XXX,,Postepay,00405070129,Comune di Lavena Ponte Tresa,21037,VA,25.62,04/01/2025,sc_votive,3,04/01/2025 11:28:58 AM,11
35006611,SATYLUL1,,Satispay,00632150173,Comune di Rodengo Saiano,25050,BS,29.4,04/01/2025,MULTE_RL,3,04/01/2025 11:28:55 AM,11
35006610,BPMOIT22,,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.59,04/01/2025,solleciti,3,04/01/2025 11:28:46 AM,11
35006609,ABI03015,,FinecoBank Banca Fineco S.p.A.,03622110132,ASST Lariana,22100,CO,102,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:28:46 AM,11
35006608,CIPBITMM,,Nexi,09314190969,ATS della Brianza,20900,MB,20.1,04/01/2025,ATS324_ECOFIN,3,04/01/2025 11:28:42 AM,11
35006607,BCITITMM,,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,131.58,04/01/2025,Tassa Auto,3,04/01/2025 11:28:42 AM,11
35006606,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,73.1,04/01/2025,ts_sanamm,3,04/01/2025 11:28:36 AM,11
35006605,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,04/01/2025,solleciti,3,04/01/2025 11:28:08 AM,11
35006604,ABI03069,,Intesa Sanpaolo S.p.A,00407800168,Comune di Trescore Balneario,24069,BG,819.15,04/01/2025,app_sad,3,04/01/2025 11:28:05 AM,11
35006603,ATPIITM1,,A-Tono Payment Institute S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.59,04/01/2025,solleciti,3,04/01/2025 11:27:54 AM,11
35006602,PPAYITR1XXX,,Postepay,80008750178,Provincia di Brescia,25121,BS,44.4,04/01/2025,os_verbali_pp,3,04/01/2025 11:27:45 AM,11
35006601,BPPIITRRXXX,,Poste Italiane S.p.A.,00828590158,Comune di San Donato Milanese,20097,MI,110,04/01/2025,TRIBTARI,3,04/01/2025 11:27:43 AM,11
35006600,SIGPITM1XXX,,MOONEY S.P.A.,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,203.05,04/01/2025,ALER_PV,3,04/01/2025 11:27:42 AM,11
35006599,BNLIITRR,,Worldline Merchant Services Italia S.p.A.,85001870188,Comune di Vigevano,27029,PV,70.48,04/01/2025,ts_verbali_cds,3,04/01/2025 11:27:36 AM,11
35006598,CIPBITMM,,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.77,04/01/2025,pedaggi,3,04/01/2025 11:27:34 AM,11
35006597,BPMOIT22,,BPER Banca S.p.A.,87003290159,Comune di Arcore,20862,MB,129.4,04/01/2025,servassdom,3,04/01/2025 11:27:31 AM,11
35006596,BIC32698,,LIS Pay SPA,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,20.1,04/01/2025,ATS321_VET_SCIA,3,04/01/2025 11:27:30 AM,11
35006595,PPAYITR1XXX,,Postepay,00397220187,Comune di Belgioioso,27011,PV,100,04/01/2025,nv_mensascolastica,3,04/01/2025 11:27:28 AM,11
35006594,BPMOIT22,,BPER Banca S.p.A.,00566590139,Comune di Lomazzo,22074,CO,121.1,04/01/2025,mg_violazioni_cds,3,04/01/2025 11:27:23 AM,11
35006593,BCITITMM,,Intesa Sanpaolo S.p.A,82000710150,Comune di Bareggio,20008,MI,13,04/01/2025,dg_scolastici,3,04/01/2025 11:27:19 AM,11
35006592,BIC32698,,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.82,04/01/2025,solleciti,3,04/01/2025 11:27:11 AM,11
35006591,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.04,04/01/2025,solleciti,3,04/01/2025 11:27:07 AM,11
35006590,PPAYITR1XXX,,Postepay,00178480208,Comune di Suzzara,46029,MN,22.5,04/01/2025,SP_PRESCUOLA,3,04/01/2025 11:27:06 AM,11
35006589,ABI03069,,Intesa Sanpaolo S.p.A,04114370168,ASST Papa Giovanni XXIII,24127,BG,152,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:26:58 AM,11
35006588,CIPBITMM,,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,2.18,04/01/2025,pedaggi,3,04/01/2025 11:26:54 AM,11
35006586,BPMOIT22,,BPER Banca S.p.A.,87003290159,Comune di Arcore,20862,MB,97,04/01/2025,trasporto_auser,3,04/01/2025 11:26:44 AM,11
35006585,SIGPITM1XXX,,MOONEY S.P.A.,00634160170,Comune di Rezzato,25086,BS,58.1,04/01/2025,in_violazione_cds,3,04/01/2025 11:26:30 AM,11
35006584,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,30.84,04/01/2025,solleciti,3,04/01/2025 11:26:22 AM,11
35006583,PPAYITR1XXX,,Postepay,00341480184,Comune di Val di Nizza,27050,PV,26.84,04/01/2025,sc_votive,3,04/01/2025 11:26:19 AM,11
35006582,BNLIITRR,,Worldline Merchant Services Italia S.p.A.,80050050154,Regione Lombardia,20124,MI,223.09,04/01/2025,Tassa Auto,3,04/01/2025 11:26:17 AM,11
35006581,ABI02008,,Unicredit S.p.A,09321970965,ASST Santi Paolo e Carlo,20142,MI,22.5,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:25:58 AM,11
35006580,SIGPITM1XXX,,MOONEY S.P.A.,03622110132,ASST Lariana,22100,CO,22.5,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:25:58 AM,11
35006579,PPAYITR1XXX,,Postepay,00424960136,Comune di Inverigo,22044,CO,20,04/01/2025,app_mensascolastica,3,04/01/2025 11:25:46 AM,11
35006578,PPAYITR1XXX,,Postepay,00309270122,Comune di Cairate,21050,VA,30,04/01/2025,TB_RIFIUTI,3,04/01/2025 11:25:46 AM,11
35006577,BIC36019,,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,247.99,04/01/2025,Tassa Auto,3,04/01/2025 11:25:43 AM,11
35006576,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.82,04/01/2025,solleciti,3,04/01/2025 11:25:41 AM,11
35006575,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.82,04/01/2025,solleciti,3,04/01/2025 11:25:41 AM,11
35006574,BIC32698,,LIS Pay SPA,00637630120,Comune di Crosio Della Valle,21020,VA,90,04/01/2025,TB_RIFIUTI,3,04/01/2025 11:25:40 AM,11
35006573,ABI03069,,Intesa Sanpaolo S.p.A,00224000125,Comune di Busto Arsizio,21052,VA,10,04/01/2025,amm_concorsi_ruolo,3,04/01/2025 11:25:40 AM,11
35006572,BAPPIT21,,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,65.2,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:25:36 AM,11
35006571,PPAYITR1XXX,,Postepay,83005620154,Comune di Limbiate,20812,MB,43,04/01/2025,mg_rifiuti_ac,3,04/01/2025 11:25:31 AM,11
35006570,SIGPITM1XXX,,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.49,04/01/2025,solleciti,3,04/01/2025 11:25:30 AM,11
35006569,CIPBITMM,,Nexi,02613080189,ASST PAVIA,27100,PV,17.9,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:25:30 AM,11
35006568,BPPIITRRXXX,,Poste Italiane S.p.A.,00828590158,Comune di San Donato Milanese,20097,MI,144.8,04/01/2025,IMMOBILISPESE,3,04/01/2025 11:25:22 AM,11
35006567,BNLIITRR,,Worldline Merchant Services Italia S.p.A.,80050050154,Regione Lombardia,20124,MI,86.97,04/01/2025,Tassa Auto,3,04/01/2025 11:25:20 AM,11
35006566,ABI36092,,Olinda SAS,00761890177,Comune di Brescia,25121,BS,32,04/01/2025,bollomobil,3,04/01/2025 11:25:18 AM,11
35006565,BCITITMM,,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,20.76,04/01/2025,Tassa Auto,3,04/01/2025 11:25:12 AM,11
35006564,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,119.92,04/01/2025,arc_sssemiresiddiur,3,04/01/2025 11:25:03 AM,11
35006563,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,232.67,04/01/2025,arc_sssemiresiddiur,3,04/01/2025 11:25:03 AM,11
35006562,PPAYITR1XXX,,Postepay,04114370168,ASST Papa Giovanni XXIII,24127,BG,36,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:24:59 AM,11
35006561,ABI03058,,CheBanca! S.p.A.,00761890177,Comune di Brescia,25121,BS,73.1,04/01/2025,ts_sanamm,3,04/01/2025 11:24:56 AM,11
35006560,PPAYITR1XXX,,Postepay,88002390172,Comune di Pralboino,25020,BS,337.8,04/01/2025,PASTIDOMICILIO_RL,3,04/01/2025 11:24:54 AM,11
35006559,POSOIT22XXX,,Banca Popolare di Sondrio,80005370137,Comune di Como,22100,CO,29.4,04/01/2025,meg_violazioni_cds,3,04/01/2025 11:24:52 AM,11
35006558,PPAYITR1XXX,,Postepay,00761890177,Comune di Brescia,25121,BS,29.4,04/01/2025,ts_sanamm,3,04/01/2025 11:24:52 AM,11
35006557,BIC32698,,LIS Pay SPA,00623530136,Comune di Lecco,23900,LC,115.5,04/01/2025,mg_violazioni_cds,3,04/01/2025 11:24:51 AM,11
35006556,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,04/01/2025,solleciti,3,04/01/2025 11:24:47 AM,11
35006555,ABI03069,,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,25,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:24:34 AM,11
35006554,SIGPITM1XXX,,MOONEY S.P.A.,09321970965,ASST Santi Paolo e Carlo,20142,MI,36,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:24:26 AM,11
35006553,ABI03015,,FinecoBank Banca Fineco S.p.A.,84507570152,Comune di Lodi,26900,LO,41.6,04/01/2025,ads_mensa_scolastica,3,04/01/2025 11:24:14 AM,11
35006552,BIC32698,,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,04/01/2025,solleciti,3,04/01/2025 11:24:14 AM,11
35006551,POSOIT22XXX,,Banca Popolare di Sondrio,80038190163,Comune di Orio Al Serio,24050,BG,22.21,04/01/2025,cie,3,04/01/2025 11:24:11 AM,11
35006550,ABI03475,,ING BANK N.V.,02613080189,ASST di Pavia,27100,PV,27.22,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:24:06 AM,11
35006549,PPAYITR1XXX,,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,115.3,04/01/2025,ALER_LO,3,04/01/2025 11:24:04 AM,11
35006548,PPAYITR1XXX,,Postepay,84507570152,Comune di Lodi,26900,LO,16.23,04/01/2025,servizicimiteriali,3,04/01/2025 11:24:02 AM,11
35006547,BIC32698,,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,10.14,04/01/2025,solleciti,3,04/01/2025 11:23:46 AM,11
35006546,SIGPITM1XXX,,MOONEY S.P.A.,80009800139,Comune di Carate Urio,22010,CO,60.9,04/01/2025,VU_CONTRAVVENZIONI,3,04/01/2025 11:23:41 AM,11
35006545,PPAYITR1XXX,,Postepay,00178480208,Comune di Suzzara,46029,MN,22.5,04/01/2025,SP_PRESCUOLA,3,04/01/2025 11:23:39 AM,11
35006544,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.59,04/01/2025,solleciti,3,04/01/2025 11:23:35 AM,11
35006543,WOLLNLB1,,Worldpay BV,80050050154,Regione Lombardia,20124,MI,206.4,04/01/2025,Tassa Auto,3,04/01/2025 11:23:31 AM,11
35006542,BPPIITRRXXX,,Poste Italiane S.p.A.,00654470137,Comune di Albese con Cassano,22032,CO,120,04/01/2025,TB_RIFIUTI,3,04/01/2025 11:23:27 AM,11
35006541,PPAYITR1XXX,,Postepay,00424960136,Comune di Inverigo,22044,CO,25,04/01/2025,app_mensascolastica,3,04/01/2025 11:23:26 AM,11
35006540,PPAYITR1XXX,,Postepay,00528310121,Comune di Brenta,21030,VA,300,04/01/2025,votive,3,04/01/2025 11:23:25 AM,11
35006539,WOLLNLB1,,Worldpay BV,00832210173,Comune di Lonato del Garda,25017,BS,44.4,04/01/2025,os_violazionecds_lonato,3,04/01/2025 11:23:14 AM,11
35006538,PPAYITR1XXX,,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,397.21,04/01/2025,ALER_PV,3,04/01/2025 11:23:10 AM,11
35006537,SIGPITM1XXX,,MOONEY S.P.A.,00109370148,Comune di Tresivio,23020,SO,181,04/01/2025,TB_RIFIUTI,3,04/01/2025 11:23:05 AM,11
35006536,SIGPITM1XXX,,MOONEY S.P.A.,00324770189,Comune di Mortara,27036,PV,82,04/01/2025,SS_MENSE,3,04/01/2025 11:23:01 AM,11
35006535,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,13.68,04/01/2025,solleciti,3,04/01/2025 11:22:56 AM,11
35006534,PPAYITR1XXX,,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,3.83,04/01/2025,solleciti,3,04/01/2025 11:22:56 AM,11
35006533,ABI03475,,ING BANK N.V.,80002130195,Provincia di Cremona,26100,CR,54.2,04/01/2025,mun_violazioni_cds,3,04/01/2025 11:22:55 AM,11
35006532,PPAYITR1XXX,,Postepay,80008750178,Provincia di Brescia,25121,BS,35.9,04/01/2025,os_verbali_pp,3,04/01/2025 11:22:45 AM,11
35006531,POSOIT22XXX,,Banca Popolare di Sondrio,80005370137,Comune di Como,22100,CO,76.75,04/01/2025,meg_violazioni_cds,3,04/01/2025 11:22:29 AM,11
35006530,PPAYITR1XXX,,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,210.38,04/01/2025,ALER_LO,3,04/01/2025 11:22:26 AM,11
35006529,ABI03058,,CheBanca! S.p.A.,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.61,04/01/2025,sin_sollecito,3,04/01/2025 11:22:22 AM,11
35006528,ATPIITM1,,A-Tono Payment Institute S.p.A.,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,5.51,04/01/2025,sin_sollecito,3,04/01/2025 11:22:14 AM,11
35006527,CIPBITMM,,Nexi,00988090148,ASST DELLA VALTELLINA E ALTO LARIO,23100,SO,22.5,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:22:14 AM,11
35006526,SIGPITM1XXX,,MOONEY S.P.A.,00178480208,Comune di Suzzara,46029,MN,129,04/01/2025,SP_TRASPORTO_SCOLASTICO,3,04/01/2025 11:22:07 AM,11
35006525,SIGPITM1XXX,,MOONEY S.P.A.,00178480208,Comune di Suzzara,46029,MN,90,04/01/2025,SP_TRASPORTO_SCOLASTICO,3,04/01/2025 11:22:04 AM,11
35006524,SIGPITM1XXX,,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,21.61,04/01/2025,Tassa Auto,3,04/01/2025 11:22:01 AM,11
35006523,PPAYITR1XXX,,Postepay,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,30,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:21:58 AM,11
35006522,ABI03069,,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,211.07,04/01/2025,SP_AFFITTI_POPOLARI,3,04/01/2025 11:21:57 AM,11
35006521,CIPBITMM,,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.58,04/01/2025,solleciti,3,04/01/2025 11:21:41 AM,11
35006520,CIPBITMM,,Nexi,03510050127,ASST SETTE LAGHI,21100,VA,22.5,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:21:41 AM,11
35006519,PPAYITR1XXX,,Postepay,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,25,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:21:37 AM,11
35006518,BNLIITRR,,Worldline Merchant Services Italia S.p.A.,00430660134,Comune di Erba,22036,CO,100,04/01/2025,pd_mensascolastica,3,04/01/2025 11:21:31 AM,11
35006516,ABI02008,,Unicredit S.p.A,02481970206,ATS della Val Padana,46100,MN,473.68,04/01/2025,ATS327_LIB_VET,3,04/01/2025 11:21:23 AM,11
35006515,BIC36019,,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,88.03,04/01/2025,Tassa Auto,3,04/01/2025 11:21:19 AM,11
35006514,BIC32698,,LIS Pay SPA,09314190969,ATS della Brianza,20900,MB,217.81,04/01/2025,ATS324_ECOFIN,3,04/01/2025 11:21:19 AM,11
35006513,BIC32698,,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.56,04/01/2025,solleciti,3,04/01/2025 11:21:12 AM,11
35006512,BPPIITRRXXX,,Poste Italiane S.p.A.,02481970206,ATS della Val Padana,46100,MN,214.86,04/01/2025,ATS327_SAN_ESE,3,04/01/2025 11:21:09 AM,11
35006511,BCITITMM,,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,66.85,04/01/2025,Tassa Auto,3,04/01/2025 11:21:06 AM,11
35006510,BNLIITRR,,Worldline Merchant Services Italia S.p.A.,80050050154,Regione Lombardia,20124,MI,86.74,04/01/2025,Tassa Auto,3,04/01/2025 11:21:03 AM,11
35006509,ABI03015,,FinecoBank Banca Fineco S.p.A.,00761890177,Comune di Brescia,25121,BS,73.1,04/01/2025,ts_sanamm,3,04/01/2025 11:21:02 AM,11
35006508,ABI03069,,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,211.07,04/01/2025,SP_AFFITTI_POPOLARI,3,04/01/2025 11:21:01 AM,11
35006507,PPAYITR1XXX,,Postepay,84503580155,Comune di Mediglia,20060,MI,127,04/01/2025,TB_RIFIUTI,3,04/01/2025 11:21:00 AM,11
35006506,PPAYITR1XXX,,Postepay,00988200143,ATS della Montagna,23100,SO,22.4,04/01/2025,ATS323_ACC_ATTI,3,04/01/2025 11:20:59 AM,11
35006505,BPPIITRRXXX,,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.59,04/01/2025,solleciti,3,04/01/2025 11:20:57 AM,11
35006504,ABI03069,,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.04,04/01/2025,solleciti,3,04/01/2025 11:20:55 AM,11
35006503,PPAYITR1XXX,,Postepay,83000130159,Comune di Cesano Maderno,20811,MB,29.4,04/01/2025,VU_CONTRAVVENZIONI,3,04/01/2025 11:20:43 AM,11
35006502,BIC32698,,LIS Pay SPA,04114450168,ASST di Bergamo Ovest,24047,BG,25,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:20:41 AM,11
35006501,PPAYITR1XXX,,Postepay,00098990146,Comune di Morbegno,23017,SO,58.1,04/01/2025,sd_violazione_cds,3,04/01/2025 11:20:41 AM,11
35006499,BCITITMM,,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,29.4,04/01/2025,ts_sanamm,3,04/01/2025 11:20:30 AM,11
35006498,BIC32698,,LIS Pay SPA,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,30,04/01/2025,TICKET_SANITARIO,3,04/01/2025 11:20:26 AM,11
35006497,ABI08676,,BCC DEL GARDA,00350520177,Comune di Concesio,25062,BS,121,04/01/2025,in_violazione_cds,3,04/01/2025 11:20:21 AM,11
35006496,BIC32698,,LIS Pay SPA,84507570152,Comune di Lodi,26900,LO,76.77,04/01/2025,mg_violazioni_cds,3,04/01/2025 11:20:18 AM,11
35006495,PPAYITR1XXX,,Postepay,88002390172,Comune di Pralboino,25020,BS,22,04/01/2025,CI_RL,3,04/01/2025 11:20:15 AM,11
